Name,Description,Section,Priority,Tags,Status
Xcode project setup (iOS 26.4 target),"Xcode project with auto-synced file group, Swift 5, iOS 26.4 deployment target.

Acceptance:
- Project builds for iOS Simulator + physical device
- New files auto-included via PBXFileSystemSynchronizedRootGroup

Estimate: S
Dependencies: none",✅ M0 — Foundation (Complete),Low,setup;ios,Complete
Design system (Theme.swift),"Central color palette, typography helpers, currency formatter.

Acceptance:
- FC enum exposes forest/lime/sun/paper/ink + semantic colors
- Color(hex:) extension works
- baht() formatter returns '฿1,234'
- serif(size:) helper renders Instrument Serif with system fallback

Estimate: S",✅ M0 — Foundation (Complete),Low,design-system;swiftui,Complete
Data models (Station + Connector),"Codable/Identifiable/Hashable models + sample data for 4 stations.

Acceptance:
- Station.all returns sample stations
- Station.find(_:) lookup by id
- Connector.isDrone flag works

Estimate: S",✅ M0 — Foundation (Complete),Low,data-layer,Complete
Router + shared components,"ObservableObject router, CardView, Pill, StationCardView, TopNav, PrimaryCTA, DroneGlyph, etc.

Acceptance:
- Router.goto(_:stationId:) animates transitions
- All 8+ shared components reusable across screens

Estimate: M",✅ M0 — Foundation (Complete),Low,swiftui;shared-views,Complete
Port 9 screens from Claude Design to SwiftUI,"Onboarding, Map, Search, Station Detail, Booking, Payment, Active Charging, Profile, Trip History.

Acceptance:
- All screens pixel-match original design
- Thai-first copy throughout
- Animations (pager dots, ring, bottom sheet drag) working

Estimate: XL",✅ M0 — Foundation (Complete),Low,ui;swiftui,Complete
Build verification (Simulator + device),"Verify clean builds on generic iOS Simulator and iPhone 17 Pro (iOS 26.4).

Acceptance:
- No compile errors/warnings
- xcodebuild returns BUILD SUCCEEDED for both destinations

Estimate: S",✅ M0 — Foundation (Complete),Low,build,Complete
Define REST API contract (OpenAPI spec),"Document all endpoints: stations (list/detail/availability), bookings (create/cancel/status), users, payments, trip history.

Acceptance:
- openapi.yaml covers all 9 screens' data needs
- Request/response schemas match Station/Connector models
- Error responses standardized (code + message + i18n key)
- Document auth header requirements

Estimate: M
Blocks: all other M1 tasks",🔥 M1 — Backend & Data Layer,High,api;design,Not Started
Networking layer (URLSession + async/await + Codable),"Build APIClient with typed endpoints, auth header injection, retry, request cancellation.

Acceptance:
- APIClient.request(_:) generic over Decodable
- Handles 401 → triggers re-auth
- Timeouts + exponential backoff retry (3 attempts)
- Unit tests cover happy path + error paths

Estimate: M
Dependencies: API contract",🔥 M1 — Backend & Data Layer,High,networking;swift,Not Started
Replace sample Station.all with API,"Wire MapScreenView and related views to fetch from /stations endpoint instead of Station.all hard-coded array.

Acceptance:
- Map + station cards populate from API
- Loading/error/empty states implemented
- Pull-to-refresh on station list

Estimate: M
Dependencies: Networking layer",🔥 M1 — Backend & Data Layer,High,integration,Not Started
Real-time station availability polling,"Poll /stations/:id/availability every 30s when detail screen is visible; stop on disappear.

Acceptance:
- AvailDot updates without manual refresh
- Polling pauses when app backgrounds
- No retain cycles (verified with Instruments)

Estimate: M",🔥 M1 — Backend & Data Layer,Medium,realtime,Not Started
Local cache with SwiftData,"Persist stations + user trips so app works briefly offline and cold-starts instantly.

Acceptance:
- Stations cached on successful fetch
- TTL 10 min for availability, 24h for static fields
- Cache invalidation on manual refresh

Estimate: L
Dependencies: Networking layer",🔥 M1 — Backend & Data Layer,Medium,persistence;swiftdata,Not Started
Error handling + user-facing error UI,"Global error banner + inline retry buttons. All API errors mapped to user-friendly Thai copy.

Acceptance:
- Network errors show retry CTA
- 4xx errors show descriptive message
- 5xx errors show 'ลองใหม่' with exponential backoff

Estimate: M",🔥 M1 — Backend & Data Layer,Medium,ux;error-handling,Not Started
Sign in with Apple integration,"Add Sign in with Apple button on onboarding + post-auth routing to Map screen.

Acceptance:
- Apple credential exchanged with backend for session token
- Token stored in Keychain
- Handles credential revoked case

Estimate: M
Dependencies: Auth backend endpoint",🔐 M2 — Authentication,High,auth;apple-signin,Not Started
Phone OTP flow (Thai mobile numbers),"Alternate sign-in via +66 phone number + 6-digit OTP.

Acceptance:
- Phone input with +66 prefix auto-formatted
- OTP resend cooldown (30s)
- OTP auto-fill from SMS via ASAuthorizationAppleIDProvider-style hint
- Rate limiting handled gracefully

Estimate: L",🔐 M2 — Authentication,High,auth;otp,Not Started
Keychain-backed token storage,"Store session tokens securely; auto-refresh on 401.

Acceptance:
- Tokens survive app relaunch but not device wipe
- Biometric gate (Face ID) optional toggle in Profile
- Unit tests for KeychainService

Estimate: M",🔐 M2 — Authentication,High,security;keychain,Not Started
User profile API integration,"Wire ProfileView to /users/me. Allow edit name, language, saved vehicles.

Acceptance:
- Profile loads from API with loading state
- Edits PATCH to server and update local state
- Optimistic UI with rollback on error

Estimate: M
Dependencies: Auth + Networking",🔐 M2 — Authentication,Medium,profile,Not Started
Sign-out flow + session revocation,"Profile → sign-out clears Keychain, calls /auth/revoke, returns to Onboarding.

Acceptance:
- All cached user data cleared
- Router resets to .onboarding
- Confirmation dialog prevents accidental taps

Estimate: S",🔐 M2 — Authentication,Medium,auth,Not Started
